id,brand,model,technology,profile,min_flow_m3h,max_flow_m3h,max_head_m,base_cost_eur,is_atex,description,recommended_motor_kw,motor_voltage,match_score,wetted_body_material,wetted_elastomer_material,curve_reference_url,real_efficiency_pct
ARO-PD01P-HPS-0NA-A,ARO (Ingersoll Rand),PD01P-HPS-0NA-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,270.0,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,,,,
ARO-PD01P-HPS-PAA-A,ARO (Ingersoll Rand),PD01P-HPS-PAA-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,425.0,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PD01P-HPS-0KA-A,ARO (Ingersoll Rand),PD01P-HPS-0KA-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,474.61,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,,,,
ARO-PD01P-HPS-PGG-A,ARO (Ingersoll Rand),PD01P-HPS-PGG-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,487.46,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Nitrilo (NBR/Buna-N),,
ARO-PD01P-HPS-PCC-A,ARO (Ingersoll Rand),PD01P-HPS-PCC-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,491.13,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,,
ARO-PD01P-HRS-PAA-A,ARO (Ingersoll Rand),PD01P-HRS-PAA-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,502.15,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PE01P-HPS-PAA-AA0,ARO (Ingersoll Rand),PE01P-HPS-PAA-AA0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,525.1,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PE01P-HPS-PAA-AC0,ARO (Ingersoll Rand),PE01P-HPS-PAA-AC0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,525.1,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PD03P-APS-PAA,ARO (Ingersoll Rand),PD03P-APS-PAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,539.78,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PE01P-HPS-0KA-AD0,ARO (Ingersoll Rand),PE01P-HPS-0KA-AD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,539.78,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,,,,
ARO-PD01P-HPS-0JC-A,ARO (Ingersoll Rand),PD01P-HPS-0JC-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,563.65,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,,,,
ARO-PD01P-HPS-PTT-A,ARO (Ingersoll Rand),PD01P-HPS-PTT-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,565.0,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),,
ARO-PD03P-ARS-PCC,ARO (Ingersoll Rand),PD03P-ARS-PCC,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,570.08,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,,
ARO-PD01E-HES-DAA-A,ARO (Ingersoll Rand),PD01E-HES-DAA-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,615.98,False,1/4 NON-METALLIC PUMP,0.0,Sin motor electrico (neumatica),0.2,,,,
ARO-PD01P-HPS-0LT-A,ARO (Ingersoll Rand),PD01P-HPS-0LT-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,623.32,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,,,,
ARO-PE01P-HPS-PAA-AD0,ARO (Ingersoll Rand),PE01P-HPS-PAA-AD0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,627.91,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PD03P-BRS-PAA,ARO (Ingersoll Rand),PD03P-BRS-PAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,629.75,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PD03P-ARS-PAA,ARO (Ingersoll Rand),PD03P-ARS-PAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,630.0,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PD01P-HRS-PTT-A,ARO (Ingersoll Rand),PD01P-HRS-PTT-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,644.44,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),,
ARO-PD03P-BPS-PAA,ARO (Ingersoll Rand),PD03P-BPS-PAA,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,646.27,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PE01P-HPS-PAA-AB0,ARO (Ingersoll Rand),PE01P-HPS-PAA-AB0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,657.29,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PD03P-ARS-PVV,ARO (Ingersoll Rand),PD03P-ARS-PVV,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,658.21,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),,,
ARO-PD03P-BRS-PCC,ARO (Ingersoll Rand),PD03P-BRS-PCC,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,668.3,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,,
ARO-PD03P-BPS-PCC,ARO (Ingersoll Rand),PD03P-BPS-PCC,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.12,2.406,70.3,675.65,False,PUMP ASSEMBLY,0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Hytrel,,
ARO-PD01P-HKS-KAA-A,ARO (Ingersoll Rand),PD01P-HKS-KAA-A,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,682.07,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),Santoprene,,
ARO-PE01P-HPS-PTT-AA0,ARO (Ingersoll Rand),PE01P-HPS-PTT-AA0,NEUMATICA_DOBLE_MEMBRANA,BARATA,0.06,1.2,87.6,692.17,False,"1/4"" NON-METALLIC PUMP",0.0,Sin motor electrico (neumatica),0.2,Polipropileno (no metálica),PTFE (Teflón),,
