referencia,descripcion,fabricante,precio_eur
4230265000,ANILLO QUEBRADO A1B1810 MOYNO,NOV PROCESS & FLOW TECHNOLOGIES UK LTD,83.0
$0131,MANTA CALEFACTADA 175W  230V 0-120ºC,"ELECTRICIDAD N. OSES, S.A",1234.94
$4035,CABLE 4 HILOS CON FUNDA SILICONA 4X0.25mm2,"ELECTRICIDAD N. OSES, S.A",3.7
$4054,RESIST. BIDONES 1.250 MM X 300 MM. 400W 230V 0-90C CS18139 BANDA CAL.BFV1250X300MM,"ELECTRICIDAD N. OSES, S.A",985.6
+2A ATEX CERTIFICADO,CERTIFICADO ATEX +2A,VICTOR PUMPEN GMBH,360.0
0%5569NK,TUBO PER.SP 6X10 MM - RAC. 4X6 MM,INJECTA SRL A SOCIO UNICO,26.25
0%5601SML,TUBO- SYNERGY NEXT B- EPDM 10X16,INJECTA SRL A SOCIO UNICO,52.0
0.00243,PTE-100 BLADE- CUCHILLA PTE-100,"CRI-MAN, S.P.A.",30.14
0.00889,RODETE PTS 4-80,"CRI-MAN, S.P.A.",643.5
0.00899,TORNILLO PTS-80 AISI304,"CRI-MAN, S.P.A.",127.53
0.01261,"CABLEPRESS DIA.18,5","CRI-MAN, S.P.A.",31.68
0.01270,"CABLE-GLAND D.18,5","CRI-MAN, S.P.A.",4.62
0.03500,ARO TORICO,"CRI-MAN, S.P.A.",6.49
0.04782,BUSHING ETO 200 X PROT SOBREC,"CRI-MAN, S.P.A.",170.0
0.07201,CONVEYOR ETO 200 DOUBLE CHOP.S.,"CRI-MAN, S.P.A.",1245.0
00-00-0002791,NOZZLE NO. 2 MALE,REKA KLEBETECHNIK GMBH & CO KG,29.0
00-00-0002793,EXIT PIECE FEMALE,REKA KLEBETECHNIK GMBH & CO KG,29.0
00-00-0002816,BOLA,REKA KLEBETECHNIK GMBH & CO KG,0.18
000188130055,RUEDA 188/130,BRAMMER DERIO S.A.,10.86
00021200,CABEZA GIRATORIA,BINKS REINHARDT-TECHNIK GMBH,1105.5
00021700,WASHER,BINKS REINHARDT-TECHNIK GMBH,2.1
00024800,RADIAL PIVOTING BEARING,BINKS REINHARDT-TECHNIK GMBH,27.75
00054600,VALVE SEAT,BINKS REINHARDT-TECHNIK GMBH,44.25
00075800,"VALVULA ANTIRETORNO 12L/M18 X 1,5",BINKS REINHARDT-TECHNIK GMBH,229.5
00075803,"ANTIRRETORNO DIAM. 12-1/4""",BINKS REINHARDT-TECHNIK GMBH,246.0
00076200,VALVULA ANTIRETORNO,BINKS REINHARDT-TECHNIK GMBH,439.5
00090600,TAPA,BINKS REINHARDT-TECHNIK GMBH,250.5
00090700,PISTON,BINKS REINHARDT-TECHNIK GMBH,91.5
00090900,CASQUILLO SEPARADOR,BINKS REINHARDT-TECHNIK GMBH,5.7
00-1010-58,DIAPHRAGM IN WILFELX,P.H.A. S.A.S.,16.8
00-1070-58,BACK-UP DIAPHRAGM,P.H.A. S.A.S.,10.8
00-1080-55,VALVE BALL IN PTFE,P.H.A. S.A.S.,10.2
00-1080-58,VALVE BALL IN WILFLEX,P.H.A. S.A.S.,6.8
001129,ANILLO SUJECCION PANTALLA VANTAGE 5000,VERDER LTD.,4.0
00-1130-20,VALVE SEAT IN POLYPROPYLEN,P.H.A. S.A.S.,7.2
00113125942,"MACHO ROSCAR MAQUINA ATORN,HSSE vaporizado UNF3/4""","COMERCIAL MUNGINOR, S.L.",183.09
00113125944,"MACHO ROSCAR MAQU. ATORN,HSSE vaporiz.UNF-7/8""-14","COMERCIAL MUNGINOR, S.L.",260.9
00-1200-58,VALVE SEAT O-RING,P.H.A. S.A.S.,4.0
00-1260-58,COMBO RETAINER O- RING,P.H.A. S.A.S.,2.62
00-1300-58,TEE SECTION O-RING,P.H.A. S.A.S.,4.0
00138800,HP-HOSE (PTFE) DN6X2500,BINKS REINHARDT-TECHNIK GMBH,552.0
00139000,MANGUERA PTFE DN6X3000 M14X1.5,BINKS REINHARDT-TECHNIK GMBH,456.0
00145401,MANGUERA DN10 500mm  PTFE,BINKS REINHARDT-TECHNIK GMBH,189.0
00152000,"HP- HOSE (PA), DN 12X2500 15L",BINKS REINHARDT-TECHNIK GMBH,256.5
00152100,MANGUERA PA DN12X3000 M22x1.5,BINKS REINHARDT-TECHNIK GMBH,198.0
00155700,HP HOSE PA DN20X2300,BINKS REINHARDT-TECHNIK GMBH,355.5
00156100,MANGUERA DN20X3000 M36x2 300BAR,BINKS REINHARDT-TECHNIK GMBH,306.0
00165800,MANGUERA DN12 M24 4000mm,"LEKU-ONA GLOBAL SOLUTIONS, S.L.",253.5
00166300,MANGUERA PA DN12 M24 6500mm,"LEKU-ONA GLOBAL SOLUTIONS, S.L.",342.0
002.98,VFD-C/3 TT400-INVERTER COELBO DA PARETE,"FOURGROUP, S.R.L.",850.0
00254900,PUMP SUPPORT,BINKS REINHARDT-TECHNIK GMBH,367.5
00255400,FORK HEAD- COMPLETE,BINKS REINHARDT-TECHNIK GMBH,313.5
00255500,APPROACH SCREW,BINKS REINHARDT-TECHNIK GMBH,74.24
002627,TEMAL SWICH,REKA KLEBETECHNIK GMBH & CO KG,8.2
00-2650-03,CIRCLIP INOX,P.H.A. S.A.S.,12.4
002915,CABLE TIPO E+F/8.4,REKA KLEBETECHNIK GMBH & CO KG,19.46
00295400,Stopper,BINKS REINHARDT-TECHNIK GMBH,2.85
00295405,STOPPER,BINKS REINHARDT-TECHNIK GMBH,10.2
00404001,TUERCA-UNION NUT M16X1,BINKS REINHARDT-TECHNIK GMBH,41.25
00417700,COLECTOR CONEXION MEZCLADOR ( MISHBLOCK ),BINKS REINHARDT-TECHNIK GMBH,145.5
00417705,BLOQUE MEZCLADOR ATEFLONADO,BINKS REINHARDT-TECHNIK GMBH,342.0
00417800,MIXING SHAFT,BINKS REINHARDT-TECHNIK GMBH,56.25
00417805,EJE MEZCLADOR,BINKS REINHARDT-TECHNIK GMBH,69.0
00433401,TUERCA UNION M22X1.5,BINKS REINHARDT-TECHNIK GMBH,87.75
00440302,ROLL -DIA50,BINKS REINHARDT-TECHNIK GMBH,57.0
00467700,ANILLO,BINKS REINHARDT-TECHNIK GMBH,42.0
00495300,ARANDELA,BINKS REINHARDT-TECHNIK GMBH,27.75
00495600,TORNILLO EMPAQUETADURA,BINKS REINHARDT-TECHNIK GMBH,143.25
00525060030445,2506-COJ.HSS DIN22568 UNF3/4-16 2A D45,"COMERCIAL MUNGINOR, S.L.",122.73
00525060070855,2506-COJ. HSS DIN22568 UNF7/8-14 2A D55,"COMERCIAL MUNGINOR, S.L.",164.85
00526641,TUBO PROTECTOR,BINKS REINHARDT-TECHNIK GMBH,133.5
00530004,JUNTA,BINKS REINHARDT-TECHNIK GMBH,388.5
00530012,JUNTA PLATO SEGUIDOR 00530012 + 00530013,BINKS REINHARDT-TECHNIK GMBH,213.0
